TestId,Date,Gender,team,Peak Braking Velocity,Peak Propulsive Power,Avg. Braking Power,Peak Braking Force,Avg. Braking Velocity,gender_binary,sport_name,field_court_binary
SlFnFb2GBS9z5puiiDVp,1/25/2024,Women,Women's Basketball,-1.1544,3212.603,-964.2188,1865.0,-0.7366,1.0,Basketball,0.0
guInDOXQTswxVXLL1bMb,10/2/2023,Women,Women's Basketball,-1.197,3235.265,-1031.848,1976.0,-0.7692,1.0,Basketball,0.0
vECKlIZvXcl1SNrsD9XY,9/25/2023,Women,Women's Basketball,-1.1061,3302.556,-990.2081,2090.0,-0.725,1.0,Basketball,0.0
CV7edx8xFfhrSMT42ZOc,11/6/2023,Women,Women's Basketball,-1.0265,3534.375,-949.4917,2327.0,-0.6792,1.0,Basketball,0.0
8K9Blqq4Y6fg6V7sbxRe,1/29/2024,Women,Women's Basketball,-1.1835,3319.344,-977.758,1906.0,-0.7682,1.0,Basketball,0.0
rtQKHRiXpjfwN64ETkOT,1/11/2024,Women,Women's Basketball,-1.0636,3028.369,-839.4695,1804.0,-0.711,1.0,Basketball,0.0
hMbTFMFz3alQU8jfFjCN,12/18/2023,Women,Women's Basketball,-1.1209,3328.143,-959.8869,2038.0,-0.7278,1.0,Basketball,0.0
2GDFEIIkSRI9uSuU2N5V,9/25/2023,Women,Women's Basketball,-1.0669,3408.389,-940.986,2204.0,-0.7147,1.0,Basketball,0.0
wfV6BbisoC0F0vQeIRZ6,12/4/2023,Women,Women's Basketball,-1.2115,3295.558,-1084.715,2095.0,-0.7736,1.0,Basketball,0.0
Iv7feszkh4NaPOF7GumF,11/27/2023,Women,Women's Basketball,-1.0774,3406.255,-932.7403,2064.0,-0.7014,1.0,Basketball,0.0
vczkw2lzLNMrtVy2Ou9P,10/2/2023,Women,Women's Basketball,-1.017,3323.146,-884.9836,2081.0,-0.6808,1.0,Basketball,0.0
KalsgrP0TZFCmtaXZd1E,1/4/2024,Women,Women's Basketball,-1.1114,3183.108,-936.7863,1972.0,-0.7467,1.0,Basketball,0.0
btthNbhFBydOv52rvBqm,10/23/2023,Women,Women's Basketball,-1.1026,3311.859,-927.2931,2036.0,-0.721,1.0,Basketball,0.0
ZKlfqgHz7s2YzNlLOCoX,11/16/2023,Women,Women's Basketball,-1.1946,3339.373,-1080.736,2099.0,-0.7572,1.0,Basketball,0.0
MX9f5ibe6XqMCDTNqHfg,12/18/2023,Women,Women's Basketball,-1.1159,3366.721,-960.29,2106.0,-0.725,1.0,Basketball,0.0
dJi77WeBrBCerBaAMdW2,1/29/2024,Women,Women's Basketball,-1.1471,3402.87,-943.8219,1928.0,-0.7585,1.0,Basketball,0.0
QTzlTKISq8OCnbmdc7oX,1/18/2024,Women,Women's Basketball,-1.1293,3224.869,-924.029,1947.0,-0.7381,1.0,Basketball,0.0
4ymQ8HOoSIGNw9an1Gn8,12/27/2023,Women,Women's Basketball,-1.2142,3461.748,-1125.86,2216.0,-0.7917,1.0,Basketball,0.0
ASGQdD6t3QjjDf6Ihj4i,2/12/2024,Women,Women's Basketball,-1.2049,3201.39,-972.7396,1799.0,-0.7883,1.0,Basketball,0.0
vsqSIOUK1h1PXlpv6pgW,12/11/2023,Women,Women's Basketball,-1.1465,3645.002,-1074.078,2250.0,-0.7423,1.0,Basketball,0.0
3VSl3bznGM2LUnEtM9h0,1/15/2024,Women,Women's Basketball,-1.0739,3125.515,-803.0291,1692.0,-0.7082,1.0,Basketball,0.0
4fFowX2aEHlbWPzMKgOw,11/16/2023,Women,Women's Basketball,-1.1067,3384.955,-997.4073,2181.0,-0.7266,1.0,Basketball,0.0
WZksNvNmrhap4QZNzfzW,1/15/2024,Women,Women's Basketball,-1.1487,3324.814,-936.993,1936.0,-0.7492,1.0,Basketball,0.0
2qnLaOZsiMwuY7X7RspS,10/30/2023,Women,Women's Basketball,-1.0376,3088.324,-814.2133,1786.0,-0.7024,1.0,Basketball,0.0
oAsDLWBPtixHncYkeuaB,11/27/2023,Women,Women's Basketball,-1.1237,3377.93,-931.006,1896.0,-0.7005,1.0,Basketball,0.0
rL3hh0P8lC8ODWF4Iukd,11/6/2023,Women,Women's Basketball,-1.1422,3271.253,-993.3721,2009.0,-0.7228,1.0,Basketball,0.0
9y71OX1mYYDXpl2n1nqK,10/2/2023,Women,Women's Basketball,-0.897,3125.874,-663.1247,1707.0,-0.5989,1.0,Basketball,0.0
dH0eDh4H8t6Z4BINKAgM,11/6/2023,Women,Women's Basketball,-0.9641,2999.505,-701.0288,1715.0,-0.6407,1.0,Basketball,0.0
erV27LaNPTHKKDcnehXc,9/18/2023,Women,Women's Basketball,-0.9137,2776.686,-654.9338,1588.0,-0.6081,1.0,Basketball,0.0
1FpPxBiJjnpB1R7CPokV,1/25/2024,Women,Women's Basketball,-0.9877,3248.433,-782.7608,1931.0,-0.6552,1.0,Basketball,0.0
8CzAeKJDpZH28rECcJvj,10/30/2023,Women,Women's Basketball,-0.894,2983.423,-624.1768,1546.0,-0.6009,1.0,Basketball,0.0
NrVqzmSHVOET5EeA5vec,12/11/2023,Women,Women's Basketball,-1.0054,3395.526,-815.3595,1924.0,-0.6553,1.0,Basketball,0.0
zCl1ShN3uwl4AmiL0eLs,12/4/2023,Women,Women's Basketball,-0.9559,3290.134,-764.9314,1904.0,-0.632,1.0,Basketball,0.0
MrANS4CLNGDCtmsgNamq,10/23/2023,Women,Women's Basketball,-0.8027,2892.254,-524.9006,1421.0,-0.5334,1.0,Basketball,0.0
kRq2aPt5Py8JgsRuvkzE,2/1/2024,Women,Women's Basketball,-1.0094,3050.262,-825.0815,1968.0,-0.6629,1.0,Basketball,0.0
IN7REpEIQyUv6TB7UFO2,10/9/2023,Women,Women's Basketball,-0.9557,2918.75,-689.5632,1653.0,-0.6205,1.0,Basketball,0.0
5l0BwOtuOZ4WdmiGHqW4,9/25/2023,Women,Women's Basketball,-0.934,2767.824,-671.4576,1640.0,-0.6165,1.0,Basketball,0.0
bzbhlYmwhIauyKPGVfu3,9/11/2023,Women,Women's Basketball,-0.9382,2825.618,-674.3887,1668.0,-0.6278,1.0,Basketball,0.0
L4JWCyymonrNuzMvy0fk,10/23/2023,Women,Women's Basketball,-0.8552,2854.411,-573.942,1456.0,-0.5633,1.0,Basketball,0.0
hizmm0My2ZwQqkjUvcwx,1/29/2024,Women,Women's Basketball,-0.9715,3090.176,-742.4241,1790.0,-0.6363,1.0,Basketball,0.0
ypwA3jMB2C2UaWiyPVUa,10/30/2023,Women,Women's Basketball,-0.8559,2878.916,-561.7542,1409.0,-0.5634,1.0,Basketball,0.0
hMOCNc0EH4reZVp7RLuH,2/12/2024,Women,Women's Basketball,-0.8647,3058.629,-633.9253,1701.0,-0.5568,1.0,Basketball,0.0
o2GL6a8AQ1Nlek9ZaebZ,10/9/2023,Women,Women's Basketball,-0.9046,2986.635,-635.5686,1610.0,-0.5995,1.0,Basketball,0.0
htxWi8y29ZAawOx9eZdo,9/25/2023,Women,Women's Basketball,-0.9688,2851.964,-685.375,1631.0,-0.6274,1.0,Basketball,0.0
7kjEKHCalqk9xgAQiEN4,11/27/2023,Women,Women's Basketball,-0.9783,3264.514,-760.8232,1833.0,-0.6343,1.0,Basketball,0.0
OgzkgJ4WA7H562FPR0HH,11/27/2023,Women,Women's Basketball,-0.9527,2997.351,-682.9933,1592.0,-0.6277,1.0,Basketball,0.0
cSDYRBgbOAABIYWSRdIM,12/18/2023,Women,Women's Basketball,-0.9656,3207.016,-748.9153,1839.0,-0.6333,1.0,Basketball,0.0
VvXih9XbBddUuDzMWqbt,1/29/2024,Women,Women's Basketball,-1.0045,3212.544,-804.7755,1833.0,-0.6338,1.0,Basketball,0.0
