TestId,Date,Time,mRSI,injury_log
ANWMrFXHs1ttUVgn2Sxw,01-30-2024,15:24:54,0.7015,0
RGKxsUXQt4Hj7DREJzeZ,02-13-2024,15:28:04,0.6185,0
iXP70NutiVef85FuWFbY,04-08-2024,15:31:13,0.7058,0
bkmmDhVCLzEWbIRPFQaX,03-26-2024,15:30:32,0.8074,0
wbcBNlzKTfCJZ1OMtniT,03-14-2024,12:29:54,0.5898,0
WqRW40wQomGc3Awqf9Bv,01-15-2024,15:28:16,0.6217,0
Ez0r1whWkpPU0aC0ayiF,02-29-2024,15:25:23,0.6881,0
exMKNRNc1zmozGFDUNXZ,04-23-2024,15:23:34,0.7487,0
2n25072fKeseoaejcxVu,05-15-2024,9:57:57,0.6122,0
iQgxLY1xc7Et4Uymfp1j,05-08-2024,15:28:00,0.5768,0
5YDvNy0oqHpa5YnA4yOb,01-30-2024,15:24:47,0.7359,0
vo1t2BVl5clwC1HKk684,02-13-2024,15:28:31,0.7076,1
pWdNsszWQQctclpBJuVL,02-29-2024,15:25:46,0.7181,1
mkOee5Ac3w9GdHgCG3iM,01-23-2024,15:26:35,0.73,1
ovPiAaa9kYE1zPgwmrLo,01-25-2024,15:29:19,0.6778,1
vpfBCQNXRUtcni4x8tv0,03-19-2024,15:29:17,0.6791,1
m5DcMSfiSuBpGmE2iQEO,01-16-2024,15:23:20,0.6406,1
TgzDjCIaPeG3BsaVmM47,03-26-2024,15:30:50,0.6757,1
izcTlpulOMCXOIf5rySL,04-04-2024,15:25:17,0.6874,1
BTGYVT2v0FpKZNgdTyE2,03-14-2024,12:29:09,0.6501,1
BeF5ES3HIKeg4o3QhB0s,05-13-2024,13:12:33,0.7252,1
J7c9jtG5asmvC2joXn3I,02-01-2024,15:32:35,0.6963,1
BdeeiiyYvQwExAiv8nwc,04-19-2024,14:57:57,0.6617,1
vgxFn0gUiMFIwob8HJg7,02-15-2024,15:13:03,0.7073,1
omRVJgT6AoP22GyRXdsN,02-13-2024,15:28:24,0.722,1
we6btPrJBfucMT7EReAr,05-08-2024,15:27:19,0.6625,1
OeQ9o3qJcMIwOeLc1Njh,01-25-2024,15:29:11,0.7255,1
TfmHV1Pw028GIMX4rKbR,04-04-2024,15:25:09,0.6744,1
pekTNCDsDDyJjZgVUaYb,05-01-2024,11:59:19,0.7127,1
00KQEqYe9T4Sz897rqPg,03-07-2024,15:24:53,0.778,1
PXuz75QooHEfLvZZokZ9,04-08-2024,15:31:23,0.6799,1
